label,youtube_id,time_start,time_end,split,is_cc
cartwheeling,h6pkpA-4mgc,560,570,val,0
cartwheeling,4uRG1e66WHM,3,13,val,0
cartwheeling,LGM_DJrTjG8,1,11,val,0
cartwheeling,zPnxWJkxhWs,2,12,val,0
cartwheeling,qyHurkZFOp0,2,12,val,0
cartwheeling,R3CPvvTKDIY,12,22,val,0
cartwheeling,_6tYrFSMRW4,0,10,val,0
cartwheeling,6rB3M9DYbWo,2,12,val,0
cartwheeling,Xz7qiB-YcHI,3,13,val,0
cartwheeling,CDIyErzttyg,79,89,val,0
cleaning gutters,7zblnwG_7Ak,57,67,val,0
cleaning gutters,uZFdkXCQtvU,0,10,val,0
cleaning gutters,-bUy1bweZ1U,23,33,val,0
cleaning gutters,Gpj3iOcyWwM,104,114,val,0
cleaning gutters,Idw3FTQE-PM,9,19,val,0
cleaning gutters,pUlKTO-upiY,392,402,val,0
cleaning gutters,FSKRgCwmzbA,304,314,val,0
cleaning gutters,LKLt4dfGMbs,54,64,val,0
cleaning gutters,9WCaHA0PIWU,24,34,val,0
cleaning gutters,K8k7t6jwX4s,136,146,val,0
cooking chicken,gWVHLsGunZs,119,129,val,0
cooking chicken,HXv-lYGMek8,85,95,val,0
cooking chicken,okHlgXPYFSo,43,53,val,0
cooking chicken,uGICtTPcvA8,246,256,val,0
cooking chicken,4GIH3JYb6no,60,70,val,0
cooking chicken,yGokvkm1-UU,125,135,val,0
cooking chicken,pj8TWS7KEeY,24,34,val,0
cooking chicken,kbjjQ37YOGw,88,98,val,0
cooking chicken,dT0xlEDaXkY,10,20,val,0
cooking chicken,F3WuAXBejxc,750,760,val,0
filling eyebrows,MwHRZLBEyug,57,67,val,0
filling eyebrows,-BlV342BAM4,179,189,val,0
filling eyebrows,7FfUUuvD9Xo,70,80,val,0
filling eyebrows,zOufKQ9BRqE,409,419,val,0
filling eyebrows,EbBrrB_VFVk,310,320,val,0
filling eyebrows,Ru2Ua8flCvM,58,68,val,0
filling eyebrows,5SqUqHyFxpo,958,968,val,0
filling eyebrows,7cyDyYbpvF0,530,540,val,0
filling eyebrows,9y9G0Hg9sU4,506,516,val,0
filling eyebrows,sSNWe9F2N_g,386,396,val,0
playing recorder,NcDrVMPY2TY,26,36,val,0
playing recorder,ZOWUraZn_wQ,49,59,val,0
playing recorder,fZ0IO--Q-ZQ,14,24,val,0
playing recorder,cu6m2i7YIGM,15,25,val,0
playing recorder,nVnm-h_DdNg,158,168,val,0
playing recorder,dpfT5WIRanY,45,55,val,0
playing recorder,QhrJ8vJ89KU,51,61,val,0
playing recorder,k548QHteNsw,67,77,val,0
playing recorder,3pZ3Nvm4jo0,0,10,val,0
playing recorder,KIs4zRu6ct4,72,82,val,0
